ascii,word,letter_frequency
488,acaba,"{'a': 3, 'b': 1, 'c': 1}"
496,abece,"{'a': 1, 'b': 1, 'c': 1, 'e': 2}"
497,abadi,"{'a': 2, 'b': 1, 'd': 1, 'i': 1}"
497,cadde,"{'a': 1, 'c': 1, 'd': 2, 'e': 1}"
498,alaca,"{'a': 3, 'c': 1, 'l': 1}"
498,bacak,"{'a': 2, 'b': 1, 'c': 1, 'k': 1}"
498,debbe,"{'b': 2, 'd': 1, 'e': 2}"
498,habbe,"{'a': 1, 'b': 2, 'e': 1, 'h': 1}"
500,abdal,"{'a': 2, 'b': 1, 'd': 1, 'l': 1}"
500,acibe,"{'a': 1, 'b': 1, 'c': 1, 'e': 1, 'i': 1}"
500,adama,"{'a': 3, 'd': 1, 'm': 1}"
500,akabe,"{'a': 2, 'b': 1, 'e': 1, 'k': 1}"
500,anaca,"{'a': 3, 'c': 1, 'n': 1}"
500,badal,"{'a': 2, 'b': 1, 'd': 1, 'l': 1}"
500,facia,"{'a': 2, 'c': 1, 'f': 1, 'i': 1}"
500,maada,"{'a': 3, 'd': 1, 'm': 1}"
501,abide,"{'a': 1, 'b': 1, 'd': 1, 'e': 1, 'i': 1}"
501,bagaj,"{'a': 2, 'b': 1, 'g': 1, 'j': 1}"
502,hadde,"{'a': 1, 'd': 2, 'e': 1, 'h': 1}"
503,adale,"{'a': 2, 'd': 1, 'e': 1, 'l': 1}"
503,adedi,"{'a': 1, 'd': 2, 'e': 1, 'i': 1}"
503,araba,"{'a': 3, 'b': 1, 'r': 1}"
504,amade,"{'a': 2, 'd': 1, 'e': 1, 'm': 1}"
504,barba,"{'a': 2, 'b': 2, 'r': 1}"
504,efece,"{'c': 1, 'e': 3, 'f': 1}"
504,gamba,"{'a': 2, 'b': 1, 'g': 1, 'm': 1}"
505,badem,"{'a': 1, 'b': 1, 'd': 1, 'e': 1, 'm': 1}"
505,bebek,"{'b': 2, 'e': 2, 'k': 1}"
505,dalga,"{'a': 2, 'd': 1, 'g': 1, 'l': 1}"
505,ebedi,"{'b': 1, 'd': 1, 'e': 2, 'i': 1}"
505,edebi,"{'b': 1, 'd': 1, 'e': 2, 'i': 1}"
505,fedai,"{'a': 1, 'd': 1, 'e': 1, 'f': 1, 'i': 1}"
505,ibdai,"{'a': 1, 'b': 1, 'd': 1, 'i': 2}"
505,ifade,"{'a': 1, 'd': 1, 'e': 1, 'f': 1, 'i': 1}"
506,acele,"{'a': 1, 'c': 1, 'e': 2, 'l': 1}"
506,akala,"{'a': 3, 'k': 1, 'l': 1}"
506,alaka,"{'a': 3, 'k': 1, 'l': 1}"
506,barda,"{'a': 2, 'b': 1, 'd': 1, 'r': 1}"
506,damga,"{'a': 2, 'd': 1, 'g': 1, 'm': 1}"
506,hahha,"{'a': 2, 'h': 3}"
506,kabak,"{'a': 2, 'b': 1, 'k': 2}"
507,abani,"{'a': 2, 'b': 1, 'i': 1, 'n': 1}"
507,ablak,"{'a': 2, 'b': 1, 'k': 1, 'l': 1}"
507,afife,"{'a': 1, 'e': 1, 'f': 2, 'i': 1}"
507,badas,"{'a': 2, 'b': 1, 'd': 1, 's': 1}"
507,badik,"{'a': 1, 'b': 1, 'd': 1, 'i': 1, 'k': 1}"
507,bakla,"{'a': 2, 'b': 1, 'k': 1, 'l': 1}"
507,belce,"{'b': 1, 'c': 1, 'e': 2, 'l': 1}"
507,camia,"{'a': 2, 'c': 1, 'i': 1, 'm': 1}"
507,cebel,"{'b': 1, 'c': 1, 'e': 2, 'l': 1}"
507,celbe,"{'b': 1, 'c': 1, 'e': 2, 'l': 1}"
507,darca,"{'a': 2, 'c': 1, 'd': 1, 'r': 1}"
507,degaj,"{'a': 1, 'd': 1, 'e': 1, 'g': 1, 'j': 1}"
507,idadi,"{'a': 1, 'd': 2, 'i': 2}"
507,iddia,"{'a': 1, 'd': 2, 'i': 2}"
507,madde,"{'a': 1, 'd': 2, 'e': 1, 'm': 1}"
508,afaki,"{'a': 2, 'f': 1, 'i': 1, 'k': 1}"
508,ahbap,"{'a': 2, 'b': 1, 'h': 1, 'p': 1}"
508,ahlaf,"{'a': 2, 'f': 1, 'h': 1, 'l': 1}"
508,badat,"{'a': 2, 'b': 1, 'd': 1, 't': 1}"
508,bakam,"{'a': 2, 'b': 1, 'k': 1, 'm': 1}"
508,bakma,"{'a': 2, 'b': 1, 'k': 1, 'm': 1}"
508,bedel,"{'b': 1, 'd': 1, 'e': 2, 'l': 1}"
508,belde,"{'b': 1, 'd': 1, 'e': 2, 'l': 1}"
508,bocce,"{'b': 1, 'c': 2, 'e': 1, 'o': 1}"
508,daima,"{'a': 2, 'd': 1, 'i': 1, 'm': 1}"
508,efdal,"{'a': 1, 'd': 1, 'e': 1, 'f': 1, 'l': 1}"
508,farba,"{'a': 2, 'b': 1, 'f': 1, 'r': 1}"
508,halfa,"{'a': 2, 'f': 1, 'h': 1, 'l': 1}"
508,hedef,"{'d': 1, 'e': 2, 'f': 1, 'h': 1}"
509,bakan,"{'a': 2, 'b': 1, 'k': 1, 'n': 1}"
509,banak,"{'a': 2, 'b': 1, 'k': 1, 'n': 1}"
509,banka,"{'a': 2, 'b': 1, 'k': 1, 'n': 1}"
509,bedii,"{'b': 1, 'd': 1, 'e': 1, 'i': 2}"
509,bence,"{'b': 1, 'c': 1, 'e': 2, 'n': 1}"
509,cedel,"{'c': 1, 'd': 1, 'e': 2, 'l': 1}"
509,cidal,"{'a': 1, 'c': 1, 'd': 1, 'i': 1, 'l': 1}"
509,ciddi,"{'c': 1, 'd': 2, 'i': 2}"
509,dalak,"{'a': 2, 'd': 1, 'k': 1, 'l': 1}"
509,kaban,"{'a': 2, 'b': 1, 'k': 1, 'n': 1}"
509,kadeh,"{'a': 1, 'd': 1, 'e': 1, 'h': 1, 'k': 1}"
509,lamba,"{'a': 2, 'b': 1, 'l': 1, 'm': 1}"
509,mebde,"{'b': 1, 'd': 1, 'e': 2, 'm': 1}"
509,tebaa,"{'a': 2, 'b': 1, 'e': 1, 't': 1}"
510,akide,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'k': 1}"
510,ancak,"{'a': 2, 'c': 1, 'k': 1, 'n': 1}"
510,bahar,"{'a': 2, 'b': 1, 'h': 1, 'r': 1}"
510,banal,"{'a': 2, 'b': 1, 'l': 1, 'n': 1}"
510,beden,"{'b': 1, 'd': 1, 'e': 2, 'n': 1}"
510,bende,"{'b': 1, 'd': 1, 'e': 2, 'n': 1}"
510,damak,"{'a': 2, 'd': 1, 'k': 1, 'm': 1}"
510,darbe,"{'a': 1, 'b': 1, 'd': 1, 'e': 1, 'r': 1}"
510,egale,"{'a': 1, 'e': 2, 'g': 1, 'l': 1}"
510,farad,"{'a': 2, 'd': 1, 'f': 1, 'r': 1}"
